1195004,401 9TH AVE N,47.622382,-122.339764,
1275517,3624 PHINNEY AVE N,47.653098,-122.354479,http://quincypads.com/
1268069,3809 WINSLOW PL N,47.65302,-122.346643,
1328188,927  N 96TH ST,47.698719,-122.346333,
1148638,1250 5TH AVE N,47.631202,-122.347509,
1854368,3401 25TH AVE W,47.650676,-122.388474,
1773580,23  W GALER ST,47.632314,-122.357593,
1681742,8720 PHINNEY AVE N,47.693004,-122.353941,
1414757,81 VINE ST,47.614774,-122.350258,
1529617,805 4TH AVE N,47.626726,-122.348887,http://www.happylivingbycogir.com/en/residential-building-seattle/8-queen-anne-retirement-community.html
1896377,1743  NW 57TH ST,47.670175,-122.38074,
1124301,6500 24TH AVE NW,47.676207,-122.387556,https://www.davispropertymanagement.com/
1252343,4073 GILMAN AVE W,47.657103,-122.388047,
1258417,3920 STONE WAY N,47.654805,-122.342465,www.prescottwallingford.com/floorplans.aspx
1266713,6561 PHINNEY AVE N,47.677111,-122.354347,
1906201,2850  NW 56TH ST,47.669496,-122.394906,
1276367,1205  N 45TH ST,47.661379,-122.342574,
1451605,4212 35TH AVE W,47.658161,-122.402354,
1314894,1302 QUEEN ANNE AVE N,47.630705,-122.356625,
1800856,229 QUEEN ANNE AVE N,47.620686,-122.356758,www.lavieatqueenanne.com/floorplans.aspx
1579036,708  N 35TH ST,47.650423,-122.349276,
1447147,600  W OLYMPIC PL,47.627402,-122.365383,https://skylinehouse.com/
1966651,3535 27TH PL W,47.652188,-122.389886,
1240871,2530 15TH AVE W,47.641701,-122.376209,
1781616,431  NW 100TH PL,47.702852,-122.363233,https://www.carkeekparkplace.com/
1902874,1715  NW 59TH ST,47.671641,-122.379834,
1449838,1425 5TH AVE N,47.632046,-122.34759,
1183252,2301 1ST AVE,47.613537,-122.346807,
1122183,1417 2ND AVE W,47.63195,-122.359216,
1500610,8816 NESBIT AVE N,47.692882,-122.34347,
1425322,9057 GREENWOOD AVE N,47.695812,-122.355363,
1788294,2226 ELLIOTT AVE,47.6118,-122.347438,http://www.elliottpointeapts.com/contact/floor-plans/
1336290,3222  NW 54TH ST,47.667456,-122.39919,http://www.pacificcrestre.com/
1543458,312  NW 85TH ST,47.690627,-122.361276,
1931877,1300  W BOSTON ST,47.638632,-122.374238,
1825976,607  W GALER ST,47.632327,-122.364808,
1394303,3333 WALLINGFORD AVE N,47.647802,-122.336351,
