address,neighborhood,building_name
151 john st,Uptown,Elliot Bay View Apartments
143 nw 85th st,Greenwood-Phinney Ridge,85TH STREET STUDIO
1746 s charles st,23rd & Union-Jackson,STELLINA CONDOMINIUM
2323 w boston st,Outside Villages,APARTMENT
2572 gilman dr w,Outside Villages,GILMAN TERRACE APTS (See also Minor 6055)
3658 dayton ave n,Fremont,FREMONT TERRACE CONDOMINIUM
2718 14th ave s,North Beacon Hill,KENMARK N
6940 37th ave s,Othello,Independent living-Esperanza Bld
121 n 46th st,Outside Villages,PALATINE
315 nw 85th st,Greenwood-Phinney Ridge,MIXED USE APARTMENT
5801 phinney ave n,Outside Villages,5801 PHINNEY AVE NO CONDOMINIUM
2805 s byron st,North Rainier,Byron Place
203 w republican st,Uptown,MARINER APTS
6511 rainier ave s,Outside Villages,13 UNIT APT
621 9th ave,First Hill,BROWNS ROOMING HOUSE
915 cherry st,First Hill,CHERRY TERRACE
1900 queen anne ave n,Upper Queen Anne,Queen Anne Towne
2510 western ave,Belltown,ELLIS COURT
2133 5th ave,Belltown,LEE COURT
400 wall st,Belltown,Sidney The  (South half of property)
311 cedar dr,Belltown,Alto Apartments
209 n 39th st,Fremont,VESTALIA CONDOMINIUM
8732 phinney ave n,Greenwood-Phinney Ridge,10 UNIT APT
4051 gilman ave w,Outside Villages,GILMANOR (0005) CONDOMINIUM
9711 greenwood ave n,Outside Villages,17 UNIT APT
220 11th ave,12th Avenue,PIONEER FELLOWSHIP HOUSE
4225 50th ave s,Outside Villages,PARK DRIVE APT
1719 e spring st,Outside Villages,THE PALAMAR
823 madison st,First Hill,MADISON APTS
5701 wilson ave s,Outside Villages,UPLAND TERRACE
7500 renton ave s,Othello,18 UNIT APT
3333 rainier ave s,North Rainier,CLAREMONT @ WALDEN
909 e alder st,12th Avenue,ALDER HOUSE
3904 martin luther king jr way s,Outside Villages,SANDRA LEE APTS
8544 phinney ave n,Greenwood-Phinney Ridge,VILLA BOITANO III
80 vine st,Belltown,BANNER BUILDING THE CONDOMINIUM
9030 seward park ave s,Rainier Beach,PARK SHORE VILLA CONDOMINIUM
8805 14th ave s,South Park,DUPLEX & 8 UNIT APTS
3512 s juneau st,Othello,M.L. King Family Housing
104 21st ave,23rd & Union-Jackson,Terrace Arms Apt
2541 15th ave s,North Beacon Hill,APARTMENT
5108 s dawson st,Outside Villages,SEWARD PARK COURTS
1101 e terrace st,12th Avenue,VILLA ON TERRACE CONDOMINIUM
3939 15th ave s,Outside Villages,APT
3901 martin luther king jr way s,Outside Villages,EMPIRE VIEW APTS
515 n 50th st,Outside Villages,CAMELOT APTS
950 n 72nd st,Outside Villages,THE CLARKE
412 25th ave s,23rd & Union-Jackson,APARTMENT BLDG 12 UNITS
514 s jackson st,Chinatown-International District,GOVERNOR APARTMENTS
2201 s jackson st,23rd & Union-Jackson,WELCH PLAZA
1700 12th ave s,North Beacon Hill,TAIYO CONDOMINIUM
1600 e yesler way,23rd & Union-Jackson,16TH AVENUE TOWNHOMES CONDOMINIUM
hiawatha pl s,23rd & Union-Jackson,HIAWATHA APARTMENTS
700 nw market st,Outside Villages,10 UNIT APT
1019 boren ave,First Hill,CHASSLETON APTS (SEE MI 1035) 1/2 INT
3716 s angeline st,Columbia City,APTS
6925 rainier ave s,Outside Villages,APTS
165 17th ave,23rd & Union-Jackson,APARTMENT BLDG 20 UNITS
1011 e terrace st,12th Avenue,Vantage Park at First Hill
810 12th ave,12th Avenue,Rianna Apts & Retail (North)
720 12th ave,12th Avenue,Rianna Apts (South)
2811 e yesler way,Outside Villages,APT BLDG
3801 s willow st,Othello,LEE'S APTS
3818 s willow st,Othello,Maria Manor
3333 gale pl s,North Rainier,GALE PLACE APTS
7526 43rd ave s,Othello,
510 6th ave s,Chinatown-International District,FUJISADA CONDOMINIUM
4836 s austin st,Outside Villages,Joy Ann Apt
1120 14th ave s,Outside Villages,13 UNIT APT
7605 rainier ave s,Outside Villages,DaLARRY (0005) CONDOMINIUM
1416 e columbia st,Outside Villages,10-UNIT APT
720 lakeside ave s,Outside Villages,LESCHI SHORES CONDOMINIUM
2821 s walden st,North Rainier,Washington Care Services
1901 e jefferson st,Outside Villages,Camdon Apts
2464 s college st,North Rainier,COLLEGE COURT APTS
6002 high point dr sw,Outside Villages,
3012 62nd ave sw,Outside Villages,14 UNIT APT
5430 california ave sw,Outside Villages,5430 CALIFORNIA AVENUE CONDOMINIUM
2726 60th ave sw,Outside Villages,24 UNIT APT HOUSE
75 s main st,Pioneer Square,OUR HOME HOTEL CONDOMINIUM
4248 chilberg ave sw,Outside Villages,OVERLOOK CONDOMINIUM
4500 sw wildwood pl,Outside Villages,WILDWOOD GLEN
6301 high point dr sw,Outside Villages,
8450 delridge way sw,Westwood-Highland Park,Westwood Apts
201 s king st,Pioneer Square,STADIUM PLACE MASTER
2128 sw holden st,Outside Villages,LONGFELLOW CREEK CONDOMINIUMS
4517 glenn way sw,West Seattle Junction,OLYMPIC VIEW
3022 sw bradford st,Outside Villages,BRADFORD COURT CONDOMINIUM
2900 alki ave sw,Outside Villages,11 UNIT APT
1925 1st ave,Commercial Core,LIVINGSTON BAKER MIXED USE
4409 california ave sw,West Seattle Junction,SUMMIT ON CALIFORNIA CONDOMINIUM
3853 beach dr sw,Outside Villages,12 UNIT APT
8820 delridge way sw,Westwood-Highland Park,DEERIDGE APTS
1216 1st ave,Commercial Core,HOTEL DILLER
114 alaskan way s,Pioneer Square,PRUDENTIAL BUILDING
2728 61st ave sw,Outside Villages,RIPPLE ROCK APTS
3112 sw avalon way,West Seattle Junction,AVALON PLACE CONDOMINIUM
1615 sw henderson st,Westwood-Highland Park,LEEWARD APTS
2225 california ave sw,Admiral,LA-PREMIERE APT/OFC 1ST FLR
8401 delridge way sw,Westwood-Highland Park,DAKOTA HOUSE-12 UNIT APT
4600 36th ave sw,West Seattle Junction,Nova Apartments (with -8170)
4405 sw alaska st,West Seattle Junction,CENTRAL PARK CONDOMINIUM
1101 harbor ave sw,Outside Villages,ALII-KAI CONDOMINIUM
9211 17th ave sw,Westwood-Highland Park,15 UNIT APT
3922 sw alaska st,West Seattle Junction,SPRUCE WEST SEATTLE
1900 occidental ave s,Greater Duwamish,MULTI TENANT WAREHOUSE
8830 9th ave sw,Outside Villages,14 UNITS
2737 60th ave sw,Outside Villages,18 UNIT APT
3233 sw avalon way,West Seattle Junction,Avalon Park Vista
1515 6th ave w,Outside Villages,PASEO APTS
2630 1st ave,Belltown,First & Cedar Apartments
1158 n 91st st,Aurora-Licton Springs,Corner Stone Apartments
326 w mercer st,Uptown,LOLA APTS
409 w mercer st,Uptown,APARTMENTS & RETAIL
10545 greenwood ave n,Outside Villages,NORTHPARK VILLAGE
102 1st ave s,Pioneer Square,OLYMPIC BLOCK BUILDING
11758 greenwood ave n,Outside Villages,APARTMENT HOUSE
312 2nd ave w,Uptown,ARCHSTONE ELLIOTT BAY APARTMENTS
2442 8th ave n,Outside Villages,TARA APTS
2721 4th ave,Belltown,THE VERMONT INN
419 queen anne ave n,Uptown,THE 419 BLDG
7 harrison st,Uptown,THE STRATHMORE
965 w nickerson st,Outside Villages,CANAL PLACE CONDOMINIUM
11755 greenwood ave n,Outside Villages,BAY VISTA CONDOMINIUM
3202 sw avalon way,West Seattle Junction,TIBURON BY THE BAY CONDOMINIUM
3053 nw 64th st,Outside Villages,SUNSET HILL MANOR
603 3rd ave w,Uptown,24 UNIT APT
600 5th ave w,Uptown,CARROLL TERRACE
100 w olympic pl,Outside Villages,THE IRELAND APTS
905 olympic way w,Outside Villages,KINNEAR APTS
1800 taylor ave n,Outside Villages,1800 TAYLOR CONDOMINIUM
2008 n 78th st,Outside Villages,CLASSIC CITY STUDIOS
4301 sw mills st,Morgan Junction,13 UNIT APT
14100 linden ave n,Bitter Lake Village,Tressa
11020 greenwood ave n,Outside Villages,GREENWOOD HOME
535 pontius ave n,South Lake Union,AMLI 535 Apartments
907 warren ave n,Outside Villages,TOSCANO CONDOMINIUM
5110 17th ave nw,Ballard,CANAL PLACE
2124 california ave sw,Admiral,JAMES APTS - 23 UNITS
2349 harbor ave sw,Outside Villages,CITY LIGHTS ON HARBOR CONDOMINIUM
611 highland dr,Uptown,611 HIGHLAND CONDOMINIUM
1942 westlake ave,Denny Triangle,Metropolitan Tower
1800 8th ave,Denny Triangle,RAY & BONAIR APARTMENT
2933 2nd ave,Belltown,WINDEMERE APARTMENTS
4118 sw college st,Admiral,COLLEGE PARK WEST CONDOMINIUM
812 5th ave n,Uptown,RESIDENCES AT FIFTH AVENUE NORTH CONDOMINIUM
2201 nw 62nd st,Ballard,10 UNIT APT
111 w highland dr,Upper Queen Anne,ONE ELEVEN THE CONDOMINIUM
3717 beach dr sw,Outside Villages,HARBOR WEST CONDOMINIUM
1001 queen anne ave n,Outside Villages,PLAZA ROYALE CONDOMINIUM
5901 phinney ave n,Outside Villages,WOODLAND CREST CONDOMINIUM
5005 phinney ave n,Outside Villages,WOODLAND PARK APARTMENTS
4611 35th ave sw,West Seattle Junction,BROOKDALE - WEST SEATTLE
6000 30th ave sw,Outside Villages,APARTMENTS
819 virginia st,Denny Triangle,COSMOPOLITAN
2716 western ave,Belltown,"PARC-BELLTOWN, THE"
8747 phinney ave n,Greenwood-Phinney Ridge,CHARLESGATE NORTH CONDOMINIUM
12520 greenwood ave n,Outside Villages,19 UNIT APT
5705 phinney ave n,Outside Villages,APARTMENTS
6215 phinney ave n,Outside Villages,PHINNEY APTS
750 n 143rd st,Bitter Lake Village,CEDAR POINTE OF SEATTLE CONDOMINIUM
1151 n 94th st,Aurora-Licton Springs,STONE COURT
41 dravus st,Outside Villages,MIX - USE APT/COMMERCIAL
8022 15th ave nw,Crown Hill,NOBA
1430 nw 64th st,Ballard,18 UNIT APT
11502 aurora ave n,Bitter Lake Village,Apartment
7501 greenwood ave n,Greenwood-Phinney Ridge,TERRACES ON GREENWOOD (THE) CONDOMINIUM
901 dexter ave n,South Lake Union,UNION - SLU
1770 nw 58th st,Ballard,HILDUR MANOR CONDOMINIUM
6030 fauntleroy way sw,Morgan Junction,12-UNIT APT
4315 34th ave w,Outside Villages,DISCOVERY PLACE CONDOMINIUM
14300 greenwood ave n,Outside Villages,Nelson Apartments
12527 roosevelt way ne,Outside Villages,ROOSEVELT PLACE
1117 pike st,Pike/Pine,Z CLUB
1516 e republican st,Capitol Hill,TWIN GABLES CONDOMINIUM
600 e olive st,Capitol Hill,BEL-CREST APTS
3636 14th ave w,Outside Villages,QUEEN ANNE II CONDOMINIUM
4710 aurora ave n,Outside Villages,AURORA TERRACE (0005) CONDOMINIUM
2323 w newton st,Outside Villages,APARTMENT
2301 w lynn st,Outside Villages,LYNN PLAZA APT
8538 mary ave nw,Crown Hill,15 UNIT APT BLDG
1800 n 107th st,Northgate,MERIDIAN PLACE APTS (Bldgs E & F)
5520 e green lake way n,Outside Villages,GREENLAKE SOUTH SHORE APTS
4 florentia st,Outside Villages,10 - UNIT APT
4900 fremont ave n,Outside Villages,APARTMENT
818 w crockett st,Outside Villages,SKYVIEW APARTMENTS
315 1st ave w,Uptown,Uptown Queen Anne Apts
525 1st ave w,Uptown,525 FIRST AVENUE APARTMENTS
22 john st,Uptown,THE AVALON
109 dexter ave n,South Lake Union,BOREALIS APARTMENTS
1200 mercer st,South Lake Union,Mercer View Apts
3637 albion pl n,Fremont,CITY LANES CONDOMINIUM
1818 e madison st,Madison-Miller,Lawrence Lofts
1711 e olive way,Capitol Hill,PLAZA DEL SOL
10757 greenwood ave n,Outside Villages,ARRAGUN APARTMENTS
3515 woodland park ave n,Fremont,KEYSTONE GROUP HOME
3218 eastlake ave e,Eastlake,Union Bay Lofts
6801 greenwood ave n,Greenwood-Phinney Ridge,FINI CONDOMINIUM
3040 17th ave w,Outside Villages,THE SLATE APARTMENTS AND LOFTS
1319 e union st,12th Avenue,APT
1515 14th ave,Pike/Pine,REO FLATS
816 ne 43rd st,University District Northwest,KELLY ANNE APTS
4236 7th ave ne,University District Northwest,11 unit apartment
621 5th ave n,Uptown,SERANA CONDOMINIUM
1001 2nd ave w,Outside Villages,KINNEAR VISTA CONDOMINIUM
119 w roy st,Uptown,CHANDLER HALL APTS
11501 greenwood ave n,Outside Villages,CORNER HOUSE APT 13 + 1 UNITS
5209 russell ave nw,Ballard,LESLEY MANOR
8221 5th ave ne,Outside Villages,Ashley Manor
5024 40th ave ne,Outside Villages,BURKE GILMAN PLACE
1305 ne ravenna blvd,Outside Villages,PARK RAVENNA APTS
3300 meridian ave n,Outside Villages,NORTH POINTE CONDOMINIUM
7320 winona ave n,Outside Villages,LAKE VISTA APTS
411 bellevue ave e,Capitol Hill,SHERRYDON APTS
801 e harrison st,Capitol Hill,RAE ANN APTS
1803 e john st,Madison-Miller,CLARINGLE APTS
7215 linden ave n,Outside Villages,WAGONWHEEL APTS
4616 22nd ave ne,Ravenna,51 UNIT APT - 7 BLDGS - Pacific Sunrise Apts
4636 22nd ave ne,Ravenna,12 UNIT
1014 e roy st,Capitol Hill,1014 E. ROY CONDOMINIUM
900 e prospect st,Outside Villages,Adamson Apartments
525 e roy st,Capitol Hill,APARTMENT
414 belmont ave e,Capitol Hill,MARIANNE APTS
400 12th ave e,Capitol Hill,MERRY BEE APTS
2402 2nd ave,Belltown,LEXINGTON CONCORD APTS
2000 2nd ave,Belltown,THE PALLADIAN HOTEL
5263 university way ne,University District Northwest,RENAISSANCE BUILDING
5233 university way ne,University District Northwest,Wahana University Plaza
1713 dexter ave n,Outside Villages,KILBIRNIE APARTMENTS
100 w highland dr,Upper Queen Anne,VICTORIA CONDOMINIUM
2105 n 55th st,Outside Villages,TANGLETOWN CONDOMINIUM
6700 roosevelt way ne,Roosevelt,ROOSEVELT APARTMENTS
9512 1st ave ne,Northgate,CAMBRIDGE COURT CONDOMINIUM
5255 15th ave ne,University District Northwest,Twin Maple Apartments
4106 12th ave ne,University District Northwest,Apartment
2040 waverly pl n,Outside Villages,WAVERLY PLACE CONDOMINIUM
601 prospect st,Uptown,10 UNIT APT
11030 5th ave ne,Northgate,MERRILL GARDENS - NORTHGATE PLAZA
12515 35th ave ne,Lake City,MESA VERDE APTS
800 1st ave n,Outside Villages,VALI-HAI APARTMENTS
711 2nd ave n,Uptown,THE MARQUIS
2413 nw 59th st,Ballard,SUNSET AT THE LOCKS CONDOMINIUM
527 eastlake ave e,South Lake Union,CAROLINA COURT
2044 yale ave e,Eastlake,Sharnnon Aptss
2224 ne 92nd st,Outside Villages,GREENHOUSE CONDOMINIUM
1422 boylston ave,Pike/Pine,MONTAGE CAPITOL HILL
1401 e howell st,Capitol Hill,Howell St Apts
727 bellevue ave e,Capitol Hill,THE MARK SPENCER
1511 e mercer st,Capitol Hill,ROXBURY APTS
706 belmont ave e,Capitol Hill,APARTMENT
9520 1st ave ne,Northgate,SAN VILLA CONDOMINIUM
4204 11th ave ne,University District Northwest,EL MONTEREY CONDOMINIUM
1712 boylston ave,Capitol Hill,12 UNIT APT
1629 summit ave,Pike/Pine,SUMMIT PLACE
526 17th ave e,Outside Villages,CARMEL HOMES
1717 belmont ave,Capitol Hill,LENOX APTS
7300 woodlawn ave ne,Green Lake,7300 WOODLAWN AVENUE CONDOMINIUM
2727 eastlake ave e,Eastlake,Remi Apts
2815 boylston ave e,Eastlake,THE SHELBY APT
11038 lake city way ne,Outside Villages,LAKE CITY PLACE
1723 18th ave e,Madison-Miller,18 UNIT APT
1410 belmont ave,Pike/Pine,BELBOY
312 e olive pl,Capitol Hill,LAUREN RENEE
1613 summit ave,Pike/Pine,THE BOUQUET APTS
1601 22nd ave,Madison-Miller,PINE ST COTTAGES CONDOMINIUM
320 melrose ave e,Capitol Hill,SENTINEL THE CONDOMINIUM
10713 roosevelt way ne,Northgate,The Park at Northgate (Villa Roma Condominium)
1220 e madison st,Pike/Pine,CITIZEN APARTMENTS
114 12th ave e,Capitol Hill,Heather Court
2059 minor ave e,Eastlake,SIENA DEL LAGO CONDOMINIUM
8620 23rd ave ne,Outside Villages,34 UNIT APT
3025 ne 137th st,Outside Villages,PARK 3025
6501 sand point way ne,Outside Villages,PARKPOINT PHASE I CONDOMINIUM
615 bellevue ave e,Capitol Hill,ROY VIEW APTS
1732 16th ave,Capitol Hill,SUNSHINE VISTA
1258 eastlake ave e,Eastlake,Villa Carmela
1809 41st ave e,Outside Villages,LOCK KELDEN APTS
12328 31st ave ne,Lake City,LUMINAIRE
11500 pinehurst way ne,Outside Villages,PINEHURST APTS
12534 15th ave ne,Outside Villages,THORTON CREEK
14033 32nd ave ne,Outside Villages,DEL MAR APTS
5804 15th ave ne,Outside Villages,12 UNIT APT
1916 e madison st,Madison-Miller,Samuel Berry McKinney Manor Apts
110 13th ave e,Capitol Hill,TROPICS APTS
119 harvard ave e,Capitol Hill,RAMAYANA APTS
4727 ravenna ave ne,Ravenna,RAVENNA WOODS APTS
2424 e denny way,Outside Villages,APARTMENTS
525 bellevue ave e,Capitol Hill,AVANTE APTS
4203 brooklyn ave ne,University District Northwest,WELLESLEY APARTMENTS
900 summit ave e,Capitol Hill,SUMMIT TOWER
1300 university st,First Hill,1300 UNIVERSITY CONDOMINIUM
1820 16th ave e,Capitol Hill,LAURELTON APTS
210 10th ave e,Capitol Hill,Mykrons Apts
9700 ravenna ave ne,Outside Villages,9700 RAVENNA CONDOMINIUM
8315 5th ave ne,Outside Villages,HILLCREST APTS & RETAIL
1100 ne 47th st,University District Northwest,CONGREGATE RESIDENCE
401 ne 40th st,Outside Villages,GOLDEN MANOR
714 harvard ave e,Capitol Hill,714 HARVARD EAST
1540 eastlake ave e,Eastlake,ILLUMINA LAKE UNION
1819 e thomas st,Madison-Miller,15 UNIT APT BLDG
325 summit ave e,Capitol Hill,AVERILL APARTMENTS
432 summit ave e,Capitol Hill,BERNKASTLE APTS
533 harvard ave e,Capitol Hill,CAMALOT
614 10th ave e,Capitol Hill,BREVARD APTS
232 belmont ave e,Capitol Hill,GARDEN COURT ON BELMONT CONDOMINIUM
12056 15th ave ne,Outside Villages,GEMSTONE TOWER CONDOMINIUM
5616 university way ne,Outside Villages,KENNEDY MANOR APARTMENT
1616 summit ave,Pike/Pine,PARC ON SUMMIT CONDOMINIUM
4760 22nd ave ne,Ravenna,UNIVERSITY CLIFF APTS
1828 11th ave,Capitol Hill,WATERWORKS CONDOMINIUM
501 e harrison st,Capitol Hill,CAMELLIA MANOR CONDOMINIUM
422 ne 70th st,Green Lake,EAST GREENLAKE APTS
515 summit ave e,Capitol Hill,Angel Crest
515 e harrison st,Capitol Hill,HYATT HOUSE APTS
415 10th ave e,Capitol Hill,10 - UNIT APT BLDG
615 14th ave e,Capitol Hill,FAIRHOME APTS
3418 ne 65th st,Outside Villages,Raleigh Court Apts
7101 roosevelt way ne,Roosevelt,26 UNIT APARTMENT
1222 e pine st,Pike/Pine,Collins on Pine    twg minor 0725
5319 24th ave ne,Ravenna,BARBI LYN APT 20 UNITS
4001 ne 50th st,Outside Villages,APARTMENT BLDG 14 UNITS
2313 n 45th st,Wallingford,The Erotic Bakery /  Apts.
600 malden ave e,Capitol Hill,STANTON COURT CONDOMINIUM
606 19th ave e,Madison-Miller,PELICAN BAY ARTS CO-OP
12736 lake city way ne,Lake City,SOLARA APTS
526 yale ave n,South Lake Union,UNION BAY APTS
1401 boren ave,Pike/Pine,AVANTI CONDOMINIUM
3255 ne 88th st,Outside Villages,APARTMENTS
2315 ne 65th st,Outside Villages,IDA CULVER - RAVENNA
2345 minor ave e,Eastlake,Minor Crest
1615 e thomas st,Capitol Hill,APT BLDG
4710 university way ne,University District Northwest,WILSONIAN APARTMENTS
768 bellevue ave e,Capitol Hill,22-UNIT APT
11300 1st ave ne,Northgate,NORTHGATE WEST CONDOMINIUM
4725 15th ave ne,University District Northwest,WAYFARER APARTMENTS
5037 brooklyn ave ne,University District Northwest,APARTMENT
5810 cowen pl ne,Outside Villages,PARK VISTA APARTMENTS
1020 ne 125th st,Outside Villages,ROYAL APARTMENTS - 10 UNITS
1633 bellevue ave,Pike/Pine,CAPITOL STEPS APARTMENTS
1421 minor ave,Pike/Pine,FAERLAND TERRACE
1919 queen anne ave n,Upper Queen Anne,new construction with -1135/-1125-Seven Hills Aprt
2231 franklin ave e,Eastlake,VILLA ANITA APTS
2413 boylston ave e,Eastlake,MADLYN  APTS
2321 yale ave e,Eastlake,11 UNIT APT
124 bellevue ave e,Capitol Hill,MERITAGE CONDOMINIUM
520 ne 112th st,Northgate,10-UNIT APARTMENT
516 e union st,Pike/Pine,BELMONT APTs
9425 35th ave ne,Outside Villages,MORNINGSIDE APTS & RETAIL
115 bellevue ave e,Capitol Hill,TROY APT
1625 martin luther king jr way,Outside Villages,HAZEL PLAZA
565 lee st,Outside Villages,MARGUERITE MANOR
301 n 45th st,Outside Villages,JABETH APTS
1820 boylston ave,Capitol Hill,GERRISH HALL APTS
230 broadway e,Capitol Hill,LYRIC THE
704 e thomas st,Capitol Hill,LANCASTER APTS
1100 e harrison st,Capitol Hill,1100 E HARRISON CONDOMINIUM
320 e pine st,Pike/Pine,Three 20 Apartments
1521 bellevue ave e,Pike/Pine,EMERALD CITY INN
1403 e olive way,Capitol Hill,CONISTON APTS
3600 s oregon st,Columbia City,AIR TODD APARTMENTS
10505 24th ave ne,Outside Villages,CASCADE VIEW APTS
2703 boylston ave e,Eastlake,SEACREST CONDOMINIUM
209 22nd ave s,23rd & Union-Jackson,Central Element Apartments
400 nw 65th st,Outside Villages,VARMELL APTS
231 belmont ave e,Capitol Hill,BELMONT LOFTS
,Capitol Hill,WEATHERFORD APARTMENTS
135 harvard ave e,Capitol Hill,HARVARD CREST APTS
1619 e john st,Capitol Hill,WHITWORTH APTS
1726 15th ave,Capitol Hill,PRINCETON CO-OP
710 8th ave,First Hill,SKYLINE FIRST HILL
2920 eastlake ave e,Eastlake,Tramonti At Lake Union Condominium
3037 ne 143rd st,Outside Villages,PARK ROYAL APTS - 24 UNITS
803 e denny way,Capitol Hill,PANTAGES APTS
103 13th ave e,Capitol Hill,HALMAR APTS
4040 7th ave ne,University District Northwest,APT BLDG
14378 30th ave ne,Outside Villages,SEATTLE HOUSING AUTHORITY
215 14th ave e,Capitol Hill,BERKSHIRE THE CONDOMINIUM
1620 13th ave,Pike/Pine,La Villa
11223 corliss ave n,Northgate,CORLISS CONDOMINIUM
8416 rainier ave s,Rainier Beach,APT 17 UNIT
,Othello,Two duplexes & two fourplexes
1128 13th ave,12th Avenue,Texada Apartments
310 12th ave e,Capitol Hill,MOLOKAI APTS
4039 8th ave ne,University District Northwest,redevelopment
16 valley st,Outside Villages,ELLA ROBERT APTS
11749 greenwood ave n,Outside Villages,WINCHESTER APTS
5716 wilson ave s,Outside Villages,UPLAND VIEW
827 hiawatha pl s,23rd & Union-Jackson,PONTEDERA CONDOMINIUM
109 25th ave e,Outside Villages,CATALINA APTS
10541 stone ave n,Aurora-Licton Springs,SPENCER HOUSE APTS
401 e mercer st,Capitol Hill,MERCER VISTA
6701 24th ave nw,Outside Villages,AMANDA ARMS APTS
610 highland dr,Outside Villages,TARTAN ARMS APT-15 UNITS
400 maynard ave s,Chinatown-International District,EVERGREEN HOTEL BUILDING
12542 35th ave ne,Lake City,SHORECREST APARTMENTS
320 w republican st,Uptown,CAPE FLATTERY APTS
510 minor ave n,South Lake Union,KERNER-SCOTT HOUSE
633 12th ave e,Capitol Hill,SERENA LOWELL APT
4235 brooklyn ave ne,University District Northwest,VARSITY ARMS CONDOMINIUM
1222 summit ave,First Hill,ARCADIA APT
1812 e republican st,Madison-Miller,REGIS APT
7515 24th ave nw,Outside Villages,BAL - CREST APTS
201 nw 39th st,Fremont,GRACEY APTS
5019 phinney ave n,Outside Villages,WOODLAND ARMS APARTMENTS
3430 renton pl s,North Rainier,THE OWYHEE
,23rd & Union-Jackson,ARGONAUT HOUSE
2312 w boston st,Outside Villages,WEST BOSTON HEIGHTS CONDOMINIUM
2917 s snoqualmie st,Columbia City,SNOQUALMIE PLACE
2503 e cherry st,23rd & Union-Jackson,"Apts, retail bldg, & SFR"
7070 east marginal way s,Outside Villages,AIRLANE MOTEL
1040 s henderson st,South Park,SEA-MAR COMMUNITY CARE CENTER
1203 james st,First Hill,THE BROADWAY APTS
610 aloha st,Uptown,610 ALOHA CONDOMINIUM
2330 w crockett st,Outside Villages,GALAXIE CONDOMINIUM
555 16th ave,Outside Villages,SEATTLE MEDICAL & REHAB CENTER
6401 20th ave nw,Ballard,LYNNDALE APT
215 aloha st,Outside Villages,KATHWYNN APTS
605 5th ave n,Uptown,AUDITORIUM APARTMENTS
400 10th ave,12th Avenue,FIRST HILL APTS
620 comstock st,Outside Villages,CROSSPOINTE VISTA
12526 greenwood ave n,Outside Villages,Greenwood Haven a10 UNIT APT
6530 24th ave nw,Outside Villages,11 UNIT APT
501 highland dr,Outside Villages,HIGHLAND VIEW APT
2600 thorndyke ave w,Outside Villages,THORNDYKE II APT
3618 evanston ave n,Fremont,MULTI RES
6000 24th ave nw,Ballard,6000 NORTHWEST
3911 s holly park dr,Othello,"SFR, 4-PLEX, 6-PLEX"
734 n 94th st,Aurora-Licton Springs,GREENLAKE NORTHWEST CONDOMINIUM
4450 winslow pl n,Wallingford,BURCH-WU
9201 rainier ave s,Rainier Beach,BARTON PLACE
620 n 34th st,Fremont,"EPI APTS, PCC"
2701 s walden st,North Rainier,APT
4315 woodland park ave n,Wallingford,9-UNIT PLUS R105
1308 w emerson st,Outside Villages,13 UNIT APARTMENT
1101 queen anne ave n,Outside Villages,ROYAL ANNE APTS
203 w comstock st,Upper Queen Anne,COMSTOCK APARTMENTS
1418 2nd ave w,Upper Queen Anne,BONNIE ARMS APTS
1428 queen anne ave n,Upper Queen Anne,GALER CREST APTS & RETAIL
307 queen anne ave n,Uptown,KENNETH APT
524 5th ave w,Uptown,WHITELEY MANOR
200 w comstock st,Upper Queen Anne,ABBEY
3040 nw market st,Ballard,LOCKHAVEN APTS
1401 w nickerson st,Outside Villages,WHARFSIDE POINTE
5913 rainier ave s,Outside Villages,23-UNIT APT
1139 nw market st,Ballard,BROADSTONE BALLARD
4 w garfield st,Upper Queen Anne,14 UNIT APT
3515 27th pl w,Outside Villages,CASA LADARO APTS BLDG #2
2900 s byron st,North Rainier,CEDERSTRAND APTS
2523 15th ave s,North Beacon Hill,Mixed use Bldg.
2301 3rd ave,Belltown,BELLTOWN  INN
4421 greenwood ave n,Outside Villages,HARBOR LIGHTS WEST CONDOMINIUM
2035 s main st,23rd & Union-Jackson,11 UNIT APT
7106 california ave sw,Outside Villages,SEVENTY ONE CONDOMINIUM
3515 sw ocean view dr,Outside Villages,SOUND CREST APTS-24 UNITS
9252 17th ave sw,Westwood-Highland Park,THE CAMBRIDGE APTS
1520 melrose ave,Pike/Pine,MELROSE APT
6310 60th ave ne,Outside Villages,SANDPOINT MANOR APTS
2721 17th ave s,North Beacon Hill,DENNING APARTMENTS formerly the McClellan Apts
300 lakeside ave s,Outside Villages,HARBOUR HOUSE AT LESCHI CONDOMINIUM
702 2nd ave w,Uptown,HAMRICK APTS
500 5th ave w,Uptown,LUXE CONDOMINIUM
3200 w commodore way,Outside Villages,LOCKSHORE CONDOMINIUM
4200 sw webster st,Othello,REX APTS
6201 15th ave nw,Ballard,MIXED USE APARTMENT
4464 fremont ave n,Outside Villages,FREMONT COURT APTS
3451 24th ave w,Outside Villages,Overlook at Magnolia (Bldg #1)
6800 rainier ave s,Outside Villages,RAINIER PLAZA APTS
2405 nw 65th st,Ballard,ANCHOR WEST
4857 fauntleroy way sw,West Seattle Junction,DORCHESTER APTS
3121 w government way,Outside Villages,ATWATER PARK
705 24th ave,23rd & Union-Jackson,APTS & RETAIL
