address,neighborhood,building_name
3033 california ave sw,Admiral,ISLAND VIEW APTS
3151 alki ave sw,Outside Villages,LIGHTHOUSE POINT CONDOMINIUM
1410 w raye st,Outside Villages,GOLFVIEW APTS
600 sw kenyon st,Outside Villages,The Overlook at Westridge
3236 sw avalon way,West Seattle Junction,WEST RIDGE APTS
9043 35th ave sw,Outside Villages,ROGENE APTS
13543 greenwood ave n,Outside Villages,GREENWOOD TWO APTS
7050 lincoln park way sw,Outside Villages,WEST WINDS APTS
2301 california ave sw,Admiral,WEST 206 APARTMENTS
4539 42nd ave sw,West Seattle Junction,ALASKA HOUSE
2801 western ave,Belltown,Olympus Apts
2414 1st ave,Belltown,BELLTOWN COURT CONDOMINIUM
909 5th ave,Commercial Core,5TH AND MADISON
2425 harbor ave sw,Outside Villages,HARBOR SQUARE APTS
1201 1st ave,Commercial Core,HARBOR STEPS (SE TOWER)
903 n 130th st,Bitter Lake Village,COURTYARD AT BITTER LAKE CONDOMINIUM
7401 linden ave n,Outside Villages,APARTMENT
372 aloha st,Outside Villages,QUEEN VUE COURT
10329 meridian ave n,Northgate,MERIDIAN NORTH CONDOMINIUM
1530 nw market st,Ballard,HJARTA CONDOMINIUM
1505 nw 60th st,Ballard,MIXED-USE APARTMENT
1601 9th ave,Denny Triangle,74-Unit Apt
420 blanchard st,Belltown,WINDHAM APTS
507 w mercer st,Uptown,TRITON TERRACE CONDOMINIUM
401 9th ave n,South Lake Union,VEER LOFTS CONDOMINIUM
3624 phinney ave n,Fremont,22 UNIT APT
3809 winslow pl n,Fremont,WINSLOW PLACE APTS
927 n 96th st,Aurora-Licton Springs,TAMARIND
1250 5th ave n,Outside Villages,Queen Anne Garden
3401 25th ave w,Outside Villages,Overlook at Magnolia (Bldg # 7)
49 w dravus st,Outside Villages,11 UNIT APT
23 w galer st,Upper Queen Anne,QUEEN ANNE COURT APTS
8720 phinney ave n,Greenwood-Phinney Ridge,PHINNEY RIDGE CONDOMINIUM
5408 meridian ave n,Outside Villages,GREENLAKE SOUTH APTS
81 vine st,Belltown,81 VINE BUILDING CONDOMINIUM
8008 greenwood ave n,Greenwood-Phinney Ridge,MONTEREY
805 4th ave n,Uptown,EMERITUS AT QUEEN ANNE
1743 nw 57th st,Ballard,BAL HARBOUR PHASE I CONDOMINIUM
6500 24th ave nw,Outside Villages,BALLARD HEIGHTS a 43 UNIT APT
4073 gilman ave w,Outside Villages,MAGNOLIA MANOR
3920 stone way n,Fremont,Prescott Wallingford.
3626 wallingford ave n,Outside Villages,WALLINGFORD VISTA APTS
6561 phinney ave n,Greenwood-Phinney Ridge,PHINNEY TERRACE
5511 32nd ave nw,Outside Villages,13 UNIT APT
2850 nw 56th st,Ballard,TELEMARK APTS
1205 n 45th st,Wallingford,MIXED USE- minors-0255 and -0275
3671 dayton ave n,Fremont,SOLSTICE AT FREMONT
4212 35th ave w,Outside Villages,THE DISCOVERY APTS
1302 queen anne ave n,Upper Queen Anne,AMALFI APTS/CO-OP
229 queen anne ave n,Uptown,LaVie at Queen Anne
7707 24th ave nw,Outside Villages,CHURCH OF PHILADELPHIA OFFICE
708 n 35th st,Fremont,BRIDGEVIEW APTS
600 w olympic pl,Outside Villages,SKYLINE HOUSE APTS
3535 27th pl w,Outside Villages,CASA LADARO APTS BLDG #1
2530 15th ave w,Outside Villages,GILMAN'S FAIRWAY CONDOMINIUM
6405 phinney ave n,Outside Villages,APARTMENTS
4618 fremont ave n,Outside Villages,MOOREA APTS
431 nw 100th pl,Outside Villages,CARKEEK PARK PLACE APARTMENTS
1715 nw 59th st,Ballard,SCHWABACHER HOUSE
1425 5th ave n,Outside Villages,TOWNE VUE MANOR
2301 1st ave,Belltown,OREGON APARTMENTS
1417 2nd ave w,Upper Queen Anne,CENTURY VILLA APTS
215 pontius ave n,South Lake Union,APARTMENTS
1154 nw 59th st,Ballard,RAVENSWOOD APTS
8816 nesbit ave n,Aurora-Licton Springs,GREENLAKE GABLES
8356 16th ave nw,Crown Hill,13 Unit Apartment
9057 greenwood ave n,Greenwood-Phinney Ridge,JADE MOUNTAIN CONDOMINIUM
2226 elliott ave,Belltown,ELLIOTT POINTE APTS
3222 nw 54th st,Outside Villages,LOCKSIDE APTS WEST
1231 5th ave n,Outside Villages,LE PARC CONDOMINIUM
312 nw 85th st,Greenwood-Phinney Ridge,CATE APTS (LOW INCOME)
1300 w boston st,Outside Villages,BOSTONIAN THE CONDOMINIUM
607 w galer st,Outside Villages,ESMOND APTS
502 minor ave n,South Lake Union,APT & STORE
3333 wallingford ave n,Outside Villages,"Tavona Condominium, Unit C - 3"
101 w olympic pl,Uptown,THE QUEENSBOROUGH
111 yale ave n,South Lake Union,DAVID COLWELL BUILDING
3901 fremont ave n,Fremont,BOWDOIN PLACE CONDOMINIUM
3711 27th pl w,Outside Villages,MAGNOLIA VISTA & MAGNOLIA MANOR
1417 4th ave w,Outside Villages,18 UNIT APT
975 john st,South Lake Union,Boxcar Apartments
315 summit ave e,Capitol Hill,SUMMIT CREST
600 belmont ave e,Capitol Hill,MULTI RES
5520 15th ave ne,University District Northwest,12 UNIT APT
1413 ne ravenna blvd,Outside Villages,DOLPHIN APTS
433 bellevue ave e,Capitol Hill,THE BELLEVUE
615 summit ave e,Capitol Hill,SIX-FIFTEEN APT
315 belmont ave e,Capitol Hill,THUNDERBIRD APTS
